onset	duration	trial_type
6.002	2	rectangle
10.002	2	rectangle
14.003	2	rectangle
18.005	2	rectangle
22.005	2	rectangle
30.005	2	isoTrapezoid
34.005	2	isoTrapezoid
38.005	2	isoTrapezoid
42.005	2	isoTrapezoid
46.006	2	isoTrapezoid
58.006	2	hinge
62.006	2	hinge
66.006	2	hinge
70.006	2	hinge
74.005	2	hinge
82.006	2	square
86.006	2	square
94.007	2	square
98.007	2	square
108.007	2	random
112.007	2	random
116.007	2	random
124.008	2	random
132.008	2	losange
136.008	2	losange
140.008	2	losange
144.008	2	losange
148.008	2	losange
158.008	2	hinge
162.008	2	hinge
170.009	2	hinge
174.009	2	hinge
184.009	2	losange
188.009	2	losange
192.01	2	losange
196.009	2	losange
200.01	2	losange
210.01	2	rectangle
214.011	2	rectangle
218.012	2	rectangle
222.011	2	rectangle
226.011	2	rectangle
234.011	2	isoTrapezoid
242.011	2	isoTrapezoid
246.01	2	isoTrapezoid
250.011	2	isoTrapezoid
262.003	2	square
266.013	2	square
270.003	2	square
274.003	2	square
278.003	2	square
290.004	2	random
294.004	2	random
298.004	2	random
302.004	2	random
306.004	2	random
8.317	0.2	right_key
10.576	0.2	left_key
15.228	0.2	right_key
18.551	0.2	left_key
22.919	0.2	right_key
30.502	0.2	left_key
35.334	0.2	left_key
38.771	0.2	right_key
43.437	0.2	right_key
46.904	0.2	right_key
58.779	0.2	right_key
62.751	0.2	left_key
66.393	0.2	right_key
70.616	0.2	right_key
74.993	0.2	left_key
82.533	0.2	right_key
87.081	0.2	left_key
95.136	0.2	right_key
98.561	0.2	left_key
109.32	0.2	left_key
112.833	0.2	right_key
117.067	0.2	right_key
124.697	0.2	left_key
132.601	0.2	right_key
136.625	0.2	left_key
141.155	0.2	right_key
145.191	0.2	right_key
150.901	0.2	right_key
158.149	0.2	left_key
162.462	0.2	right_key
170.938	0.2	left_key
182.848	0.2	right_key
184.685	0.2	left_key
188.383	0.2	right_key
192.991	0.2	left_key
196.674	0.2	right_key
202.002	0.2	right_key
210.475	0.2	right_key
214.675	0.2	right_key
218.684	0.2	left_key
223.029	0.2	right_key
226.723	0.2	right_key
234.595	0.2	left_key
242.453	0.2	right_key
246.933	0.2	left_key
250.806	0.2	right_key
262.564	0.2	right_key
266.58	0.2	left_key
270.561	0.2	right_key
274.526	0.2	right_key
278.49	0.2	left_key
290.525	0.2	right_key
295.337	0.2	right_key
298.951	0.2	left_key
302.656	0.2	right_key
306.646	0.2	left_key
